recordId,stoylProductRefId,fieldName,businessObjectName,description,fieldSource,fieldType,relatedBusinessObject,defaultPrompts,category,usageType
5066,5a381a8f52c57b32c0343469,Bill-To Address,Requisition Sourcing Event,The bill-to address specified to be used by the requisition sourcing request when creating the sourcing outcome document.,Workday Delivered,Single instance,Address,,Requisition,Default Areas
5067,5a381a8f52c57b32c0343469,Bill-To Address,Billing Schedule,Contains the Bill-To Address assigned to the Billing Schedule.,Workday Delivered,Single instance,Address,,Customer Address & Phone,Default Areas
5068,5a381a8f52c57b32c0343469,Bill-To Address,Consolidated Invoice,The bill-to address for the consolidated invoice.,Workday Delivered,Text,,,Customer Address & Phone,Default Areas
5069,5a381a8f52c57b32c0343469,Bill-To Address for Customer,Customer,This field allows you to drill into the details of the related actions for the Bill To Address.,Workday Delivered,Single instance,Address,,"Address & Phone

Customer Address & Phone",Default Areas
5070,5a381a8f52c57b32c0343469,Bill-To Company,Purchase Order,Bill-to company for purchase order,Workday Delivered,Single instance,Company,,Company,Default Areas
5071,5a381a8f52c57b32c0343469,Bill-To Contact,Billing Schedule,Contains the Bill-To Contacts assigned to the Billing Schedule.,Workday Delivered,Multi-instance,Business Entity Contact,,Billing,Default Areas
5072,5a381a8f52c57b32c0343469,Bill-To Contact,Requisition Sourcing Event,The bill-to contact specified to be used by the sourcing request when creating the sourcing outcome document.,Workday Delivered,Text,,,Requisition,Default Areas
5073,5a381a8f52c57b32c0343469,Bill-To Contact,Order,Bill-to Contact for the purchase order,Workday Delivered,Single instance,Worker,,Worker,Default Areas
5074,5a381a8f52c57b32c0343469,Bill-To Contact,Company,Returns the default Bill-to Contact worker for the company,Workday Delivered,Single instance,Worker,,Procurement Options,Default Areas
5075,5a381a8f52c57b32c0343469,Bill-To Contact,Consolidated Invoice,Contains the bill-to contacts for an consolidated invoice.,Workday Delivered,Multi-instance,Business Entity Contact,,Customers,Default Areas
5076,5a381a8f52c57b32c0343469,Bill-To Contact Detail,Order,Bill-to Contact Details for the purchase order.,Workday Delivered,Text,,,Business Entity Name,Default Areas
5077,5a381a8f52c57b32c0343469,Bill-To Contact Email,Order,"Bill-to Contact's primary email or if not entered, the Buyer's primary email or if not entered, the company's primary email.",Workday Delivered,Single instance,Internet Email Address,,Address & Phone,Default Areas
5078,5a381a8f52c57b32c0343469,Bill-to Contact Phone Number,Order,"Bill-to Contact's primary phone number or if not entered, the Buyer's primary phone number or if not entered, the company's primary phone number",Workday Delivered,Single instance,Phone Data,,Address & Phone,Default Areas
5079,5a381a8f52c57b32c0343469,Bill-To Contacts,Customer,Contains the Bill-To Contacts for a Customer. This field allows you to drill into the details of the contacts and access related actions.,Workday Delivered,Multi-instance,Business Entity Contact,,Customers,Default Areas
5080,5a381a8f52c57b32c0343469,Bill-To Contacts for Customer Invoice Document,Customer Invoice Document,Contains the bill-to contacts for an invoice document.,Workday Delivered,Multi-instance,Business Entity Contact,,Customers,Default Areas
5081,5a381a8f52c57b32c0343469,Bill-To Customer,Customer Contract Abstract,The bill to customer for the customer contract.,Workday Delivered,Single instance,Customer,,Customer Contract,Default Areas
5082,5a381a8f52c57b32c0343469,Bill-To Customer,Contract Line,The Bill-To Customer on the Contract Line.,Workday Delivered,Single instance,Customer,,Customer Contract Line,Default Areas
5083,5a381a8f52c57b32c0343469,Bill-To Customer,Billable Transaction,Bill-To Customer from the Customer Contract Line.,Workday Delivered,Single instance,Customer,,Billing,Default Areas
5084,5a381a8f52c57b32c0343469,Bill-To Customer,Remittance Advice,The Bill-to Customer specified on the Identifying Information line for the Customer Payment,Workday Delivered,Single instance,Customer,,Customer Payments,Default Areas
5085,5a381a8f52c57b32c0343469,Bill-To Customer/Bill-To Sponsor,Billable Transaction,Bill-To Customer/Bill-To Sponsor from the Customer Contract or Award Line.,Workday Delivered,Single instance,Customer,,Billing,Default Areas
5086,5a381a8f52c57b32c0343469,Bill-To Customer/Bill-To Sponsor,Remittance Advice,The Bill-to Customer specified on the Identifying Information line for the Customer Payment,Workday Delivered,Single instance,Customer,,Customer Payments,Default Areas
5087,5a381a8f52c57b32c0343469,Bill-To Phone,Customer,The bill to phone for the customer or sponsor.,Workday Delivered,Text,,,Address & Phone,Default Areas
5088,5a381a8f52c57b32c0343469,Bill-To Phone Number,Purchase Order,"Buyer's primary phone number or if not entered, the company's primary phone number.",Workday Delivered,Text,,,Address & Phone,Default Areas
5089,5a381a8f52c57b32c0343469,Bill-To Sponsor,Award Abstract,The bill-to sponsor for the award.,Workday Delivered,Single instance,Sponsor,,Sponsors,Default Areas
5090,5a381a8f52c57b32c0343469,Bill-To Sponsor,Billable Transaction,Bill-To Customer from the Award Line.,Workday Delivered,Single instance,Sponsor,,Billing,Default Areas
5091,5a381a8f52c57b32c0343469,Bill-To Sponsor,Remittance Advice,The Bill-To Sponsor specified on the Identifying Information line for the Customer Payment,Workday Delivered,Single instance,Sponsor,,Customer Payments,Default Areas
5092,5a381a8f52c57b32c0343469,Bill-To Sponsor,Contract Line,The Bill-To Sponsor on the Award Line.,Workday Delivered,Single instance,Sponsor,,Award Line,Default Areas
5093,5a381a8f52c57b32c0343469,Bill-To Sponsor for Award,Financial Line,Bill-To Sponsor for the Award for the Grant work tag,Workday Delivered,Single instance,Sponsor,,Award,Default Areas
5094,5a381a8f52c57b32c0343469,Bill-To Sponsor for Award Proposal,Award Proposal,The bill-to sponsor for the award proposal.,Workday Delivered,Single instance,Sponsor,,Award Proposal,Default Areas
5095,5a381a8f52c57b32c0343469,Bin,Inventory Par Location Line,Bin in a Par Location,Workday Delivered,Single instance,Par Location Bin,,Location,Default Areas
5096,5a381a8f52c57b32c0343469,Bin,Par Count Lines,Bin for a Par Location,Workday Delivered,Single instance,Par Location Bin,,Par Location,Default Areas
5097,5a381a8f52c57b32c0343469,Bin Name,Par Location Bin,Bin Name,Workday Delivered,Text,,,Par Location,Default Areas
5098,5a381a8f52c57b32c0343469,Birth Date Formated,Worker,,Calculated,Text,,,Uncategorized,Default Areas
5099,5a381a8f52c57b32c0343469,Birth Last Name (Uppercase),Worker Business Process,,Calculated,Text,,,Name,Default Areas
5100,5a381a8f52c57b32c0343469,Biweekly Calculation Start Date,Work Schedule Calendar,The date that begins the 14-day periods over which biweekly time calculations execute.,Workday Delivered,Date,,,Work Schedule,Default Areas
5101,5a381a8f52c57b32c0343469,Bi-Weekly Pay Frequency,Payroll Result,,Calculated,Boolean,,,Payroll,Default Areas
5102,5a381a8f52c57b32c0343469,Blank Approval Number Field,Worker,,Calculated,Text,,,Uncategorized,Default Areas
5103,5a381a8f52c57b32c0343469,Blank Date,Global,Returns Null Date Value,Workday Delivered,Date,,,Uncategorized,Default Areas
5104,5a381a8f52c57b32c0343469,Blank Location Field,Worker,,Calculated,Text,,,Uncategorized,Default Areas
5105,5a381a8f52c57b32c0343469,Blank Manager ID Field,Worker,,Calculated,Text,,,Uncategorized,Default Areas
5106,5a381a8f52c57b32c0343469,Blank Passport Number Field,Worker,,Calculated,Text,,,Uncategorized,Default Areas
5107,5a381a8f52c57b32c0343469,Blank Travel Date Field,Worker,,Calculated,Text,,,Uncategorized,Default Areas
5108,5a381a8f52c57b32c0343469,Blended Course,Learning Content,Returns the current Learning Content as a Blended Course.,Workday Delivered,Single instance,Blended Course,,Uncategorized,Default Areas
5109,5a381a8f52c57b32c0343469,Blended FTE,Position and Job - All Staffing Models,"Returns the full time equivalent for a specified position.  This incorporates the percent of year factor setting from Academic Pay's  Annual Work Period.  When a position has no Academic Pay settings, the % of year is considered to be 1 and thus the Blended FTE will equal the regular FTE.",Workday Delivered,Numeric,,,Academic Pay,Default Areas
5110,5a381a8f52c57b32c0343469,Blended FTE,Worker,Returns the sum of full time equivalents for the worker's  primary job.  This incorporates the percent of year factor setting from Academic Pay's  Annual Work Period. Will also  return proper results when worker has just one job and/or a full year work period.,Workday Delivered,Numeric,,,"Academic Pay

Benefits Eligibility

Job & Position","Benefits Eligibility

Default Areas"
5111,5a381a8f52c57b32c0343469,Blended FTE (Compensation),Compensation Rule Targetable,Returns the Blended FTE for a Worker's Primary Job.,Workday Delivered,Numeric,,,Compensation Eligibility,Compensation Eligibility
5112,5a381a8f52c57b32c0343469,Blended FTE % (Position) for Fringe Commitments,Position and Job - All Staffing Models,"Returns the Blended FTE % for a filled position, representing its weekly-hours-based FTE adjusted for any academic pay period calendar.  If the position has a full year work schedule, or it does not have an academic pay period defined, or if the position is vacant, then the blended FTE is equal to the weekly-hours-based FTE.  This should be used only as a criteria within a Fringe Benefits Commitments rule.",Workday Delivered,Numeric,,,"Academic Pay

Job & Position",Fringe Commitment Rule
5113,5a381a8f52c57b32c0343469,Blended FTE % (Worker) for Fringe Commitments,Position and Job - All Staffing Models,"Returns the Blended FTE % aggregated across all jobs held by the incumbent worker.  If the target is a vacant position, then the position retriction's default FTE % is returned (when it has an open job requisition).  The Blended FTE % represents the weekly-hours-based FTE adjusted for any academic pay period calendar.    This should be used only as a criteria within a Fringe Benefits Commitments rule.",Workday Delivered,Numeric,,,"Academic Pay

Worker",Fringe Commitment Rule
5114,5a381a8f52c57b32c0343469,Blended FTE as of Period End Date,Worker,Returns the Blended FTE for the primary employment as of the period end date.,Workday Delivered,Numeric,,,Time Off,Calculation Engine (Payroll/Absence)
5115,5a381a8f52c57b32c0343469,Blended FTE as of Period Start Date,Worker,Returns the Blended FTE for the primary employment as of the period start date.,Workday Delivered,Numeric,,,Time Off,Calculation Engine (Payroll/Absence)
5116,5a381a8f52c57b32c0343469,Blood Type,Worker,Indicates the blood type for the worker,Workday Delivered,Single instance,Blood Type,,Basic Bio,Default Areas
5117,5a381a8f52c57b32c0343469,BMD,Global,The three-letter ISO currency code BMD.,Workday Delivered,Single instance,Currency,,Uncategorized,Default Areas
5118,5a381a8f52c57b32c0343469,BND,Global,The three-letter ISO currency code BND.,Workday Delivered,Single instance,Currency,,Uncategorized,Default Areas
5119,5a381a8f52c57b32c0343469,Board Approved,Stock Grant Event,Board approved flag will return True if any grants for this event have been board approved.,Workday Delivered,Boolean,,,Compensation,Default Areas
5120,5a381a8f52c57b32c0343469,Board Approved,Stock Grant,Is this grant board approved.,Workday Delivered,Boolean,,,Compensation,Default Areas
5121,5a381a8f52c57b32c0343469,BOB,Global,The three-letter ISO currency code BOB.,Workday Delivered,Single instance,Currency,,Uncategorized,Default Areas
5122,5a381a8f52c57b32c0343469,Body,Scheduled Distribution,The body of the email for this distribution,Workday Delivered,Text,,,Scheduled Distributions,Default Areas
5123,5a381a8f52c57b32c0343469,Body Notification Message Component,Workflow Notification,Body Notification Message Component for the Notification.,Workday Delivered,Multi-instance,Notification Message Component,,Business Process,Default Areas
5124,5a381a8f52c57b32c0343469,Body Part Category,Injury Illness,The category for the body part that was affected by the injury or illness.,Workday Delivered,Single instance,Injury Illness Body Part Category,,Safety Incident Tracking,Default Areas
5125,5a381a8f52c57b32c0343469,Bonus & One-Time Payments,Worker,"Contains the bonus payments that have been approved.  This includes both recurring bonus payments, as well as one-time bonus payments.",Workday Delivered,Multi-instance,One-Time Payment,,Compensation,Default Areas
5126,5a381a8f52c57b32c0343469,Bonus & One-Time Payments,Position,"Contains the bonus payments that have been approved.  This includes both recurring bonus payments, as well as one-time bonus payments.",Workday Delivered,Multi-instance,One-Time Payment,,Compensation,Default Areas
5127,5a381a8f52c57b32c0343469,Bonus & One-Time Payments - All Statuses,Worker,"Contains the bonus payments of all statuses including approved, denied, in progress, etc.",Workday Delivered,Multi-instance,One-Time Payment,,Compensation,Default Areas
5128,5a381a8f52c57b32c0343469,Bonus & One-Time Payments - All Statuses,Position,"Contains the bonus payments of all statuses including approved, denied, in progress, etc.",Workday Delivered,Multi-instance,One-Time Payment,,Compensation,Default Areas
5129,5a381a8f52c57b32c0343469,Bonus & One-Time Payments Last Year,Employee,,Calculated,Currency,,,Uncategorized,Default Areas
5130,5a381a8f52c57b32c0343469,Bonus & One-Time Payments This Year,Employee,,Calculated,Currency,,,Uncategorized,Default Areas
5131,5a381a8f52c57b32c0343469,Bonus %,Compensation Review Bonus Payment,Returns Bonus percent awarded in the Compensation Review Process for the Employee.,Workday Delivered,Numeric,,,Compensation,Drill Down (Internal)
5132,5a381a8f52c57b32c0343469,Bonus %,Compensation Review Bonus Payment Audit,The bonus amount given to an employee as a percentage of the selected compensation basis.,Workday Delivered,Numeric,,,Compensation,Default Areas
5133,5a381a8f52c57b32c0343469,Bonus Amount - Current,Worker Business Process,The current sum of bonus targets for the worker.,Workday Delivered,Currency,,,Compensation,Default Areas
5134,5a381a8f52c57b32c0343469,Bonus Amount - Proposed,Worker Business Process,The proposed sum of bonus targets for the worker.,Workday Delivered,Currency,,,Compensation,Default Areas
5135,5a381a8f52c57b32c0343469,Bonus Amount to Cash,Worker,,Calculated,Currency,,,Uncategorized,Default Areas
5136,5a381a8f52c57b32c0343469,Bonus Amount to Deferred Stock Units,Worker,,Calculated,Currency,,,Uncategorized,Default Areas
5137,5a381a8f52c57b32c0343469,Bonus Amount Total,Proration Segment,"Do not use. This field was created specifically for generating the printed merit statement. It allows us to identify the bonus plan associated with each proration segment. In a standard report, it would be more logical to walk to Bonus Payments to the proration breakdown.",Workday Delivered,Currency,,,Merit Statement,Default Areas
5138,5a381a8f52c57b32c0343469,Bonus Amount Total - Formatted,Proration Segment,"Do not use. This field was created specifically for generating the printed merit statement. It allows us to identify the bonus plan associated with each proration segment. In a standard report, it would be more logical to walk to Bonus Payments to the proration breakdown.",Workday Delivered,Text,,,Merit Statement,Default Areas
5139,5a381a8f52c57b32c0343469,Bonus Assignments,Employee Compensation Event,Returns all the bonus plan assignments for a worker that are assigned in a compensation event.,Workday Delivered,Multi-instance,Compensation Assignment Proposal,,Compensation,Default Areas
5140,5a381a8f52c57b32c0343469,Bonus Assignments,"Job Applications, Prospects and Referrals",Returns all the bonus plan assignments for a ~job application~ that are assigned in a Compensation Event for Offer.,Workday Delivered,Multi-instance,Compensation Assignment Proposal,,Offer,Default Areas
5141,5a381a8f52c57b32c0343469,Bonus Compensation Snapshot Date,Adjustment For,This field provides the bonus compensation snapshot date for the compensation review process.,Workday Delivered,Date,,,Compensation,Default Areas
5142,5a381a8f52c57b32c0343469,Bonus Currency,Future Payment Plan Assignment,"The currency in which the True Up Target amount will be paid. This is either the individual target currency applied on the future payment plan assignment or, if not applied, the currency for the future payment plan.",Workday Delivered,Single instance,Currency,,Compensation,Default Areas
5143,5a381a8f52c57b32c0343469,Bonus Decimal Value in Words,Employment Agreement,Contains the Decimal value of the overall Bonus from the Employment Agreement in words.,Workday Delivered,Text,,,Offer or Employment Agreement,Default Areas
5144,5a381a8f52c57b32c0343469,Bonus Depreciation %,Asset Book Configuration,The bonus depreciation percentage for the depreciation schedule.,Workday Delivered,Numeric,,,Business Asset,Default Areas
5145,5a381a8f52c57b32c0343469,Bonus Depreciation Amount in Schedule,Asset Book Configuration,The total bonus depreciation amount for the depreciation schedule.  This does not include historical bonus depreciation.,Workday Delivered,Currency,,,Amount,Default Areas
5146,5a381a8f52c57b32c0343469,Bonus Distributed,Compensation Review Process,The distributed amount available for bonuses in the compensation review process. This is shown in the reference currency.,Workday Delivered,Currency,,,Compensation,Default Areas
5147,5a381a8f52c57b32c0343469,Bonus Earnings,Payroll Result,Configurable CRF to be used with payroll reports showing payroll results.,Workday Delivered,Currency,,,Payroll,Default Areas
5148,5a381a8f52c57b32c0343469,Bonus Effective Date,Compensation Review One-Time Payment,Retrieves the Effective Date for the Bonus award.,Workday Delivered,Date,,,Compensation,Default Areas
