recordId,stoylProductId,productId,productVersion,updateType,feature,featureDescription,functionalArea,setupEffort,newFunctionalityTitle,newFunctionality,trainingAndTestingImpact,publishDate,tentativeProductionDate,documentationCorrected,documentationCorrectedDate,businessProcesses,processTasks,webServicesName,securityDomains,currentName,formerName,retired,featureJira,Feature Opt-In,Adoption Item(s)
24,PR29,WDAY,29,feature release,Workday 29 - Adoption Planning,"Workday 29 continues to enhance Adoption Applications, a planning and implementation guide. We enable you to report on and gain insight from adoption items and tasks and we simplify how you organize and prepare for maintenance and important events in your tenant.

For details, see: Adoption Planning What's New Video (https://community.workday.com/articles/312837).",System,Setup Required,View Workday Usage Metric Details,"With this update we deliver a new View Workday Usage Metric Details report (secured to the Workday Usage Metrics domain). You can run this report to view details about a usage metric, including:  
- Area or Workday Solution
- Business Object
- Category
- Description
- Historical Values
- Name
- Return Type
- Threshold

The new report doesn't support these usage metrics:
- Active Workers by Country at Month-End
- Workday Users by Language at Month-End

You can view details on those usage metrics on their reports on the Worker/User Data menu on the Usage Metrics Dashboard.",,8/18/2017,9/9/2017,,,,,,Workday Usage Metrics (Existing),,,,ADOPT-968,,
25,PR29,WDAY,29,feature release,Workday 29 - Academic Foundation - Miscellaneous Enhancements,,Academic Foundation,Automatically Available,Merged Personal Data,"Workday now includes this data on the merged record when you merge duplicate students and prospects:
- Marital Status Date
- Political Affiliation
- Religion",This feature may require additional testing and may impact your training materials.,8/18/2017,9/9/2017,,,,,,,,,,STU-27973,,
26,PR29,WDAY,29,feature release,Workday 29 - Application Entry State,"With Workday 29, we enable you to capture the original content of an application as submitted by the student, prior to any modifications by staff.

For details, see: Application Entry State What's New Video (https://community.workday.com/articles/313544).",Admissions,Setup Required,View Application Entry State,Workday delivers a new View Application Entry State report (secured to the new Manage: Student Application Entry State domain) that enables you to see exactly how an application appeared when the prospect originally submitted it. You can access this new report from the related actions menu of any student application.,,8/11/2017,9/9/2017,,,,,,Manage: Student Application Entry State,,,,STU-17893,,
27,PR29,WDAY,29,feature release,Workday 29 - My Team Management Dashboard,"Workday 29 delivers a My Team Management dashboard, providing you with a convenient, efficient platform to manage your team, quickly access product dashboards, and keep track of time-sensitive tasks.

For details, see: My Team Dashboard What's New Video (https://community.workday.com/articles/313584).",Staffing,Setup Required,Management Dashboard: My Team Domain,"With this update, we secure the My Team Management dashboard to a new, dedicated Management Dashboard: My Team security domain.

We no longer secure the dashboard to these domains:
- Reports: Manager
- Reports: Matrix Manager",,8/11/2017,9/9/2017,Yes,8/18/2017,,,,Management Dashboard: My Team,,,,HRINFRA-407,,
28,PR29,WDAY,29,feature release,Workday 29 - Job Application and Prospect Data,"Workday 29 continues to improve report data sources for job application and prospect information, providing better performance and enhanced data security.",Recruiting,Automatically Available,Find Candidates Report,"Workday delivers a new Find Candidates - New report (secured to the Find Candidates: Internal and External domain) that automatically replaces the Find Candidates report. 

The new report provides improved performance and enhanced search results by displaying:
- Facets in related groupings.
- Search results based on prospects and all of their job applications.

We also add a Resume Attachments field on the report that shows all attachments that display in the Resume/CV section on the candidate profile. When you click an attachment, Workday displays a document preview for PDF document types and downloads all other document types.",This feature may impact your training materials.,8/5/2017,9/9/2017,Yes,8/11/2017,,,,Find Candidates: Internal and External (existing),,,Find Candidates,HRREC-19659,,
29,PR29,WDAY,29,feature release,Workday 29 - Barcodes,"With Workday 29, we continue to enhance barcode functionality and improve inventory handling.

For details, see: Barcodes What's New Video (https://community.workday.com/articles/319219).",Inventory,Setup Required,Custom Barcodes,"Workday 29 adds these tasks (secured to the Set Up: Inventory domain) so that you can create and use custom barcodes in Workday:
- Create Custom Barcode Type
- Edit Custom Barcode Type
- Delete Custom Barcode Type

We also deliver a new View Custom Barcode Type report, secured to these domains:
- Process: Inventory
- Set Up: Inventory",,8/5/2017,9/9/2017,,,,"Create Custom Barcode Type
Edit Custom Barcode Type
Delete Custom Barcode Type",,"Process: Inventory (existing)
Set Up: Inventory (existing)",,,,FININV-7954,,
30,PR29,WDAY,29,feature release,Workday 29 - Student Employment Eligibility,"Workday 29 continues to improve your ability to verify student employment eligibility by introducing new rules for pre-employment, staffing processes, and post-employment, streamlining your student employment processes.

For details, see: Student Employment Eligibility What's New Video (https://community.workday.com/node/312210).",Staffing,Setup Required,Create Student Employment Eligibility Rules,"Workday 29 enables you to create and edit condition rules for student employment eligibility with these new tasks (secured to the new Set Up: Student Employment Eligibility Rules domain):
- Create Student Employment Eligibility Rule
- Delete Student Employment Eligibility Rule
- Edit Student Employment Eligibility Rule",,8/5/2017,9/9/2017,,,,"Create Student Employment Eligibility Rule
Delete Student Employment Eligibility Rule
Edit Student Employment Eligibility Rule",,Set Up: Student Employment Eligibility Rules,,,,HREG-11019,,
31,PR29,WDAY,29,feature release,Workday 29 - Financial Aid,"Workday 29 redesigns the financial aid packaging process, makes financial aid information more accessible on student profiles, and delivers other enhancements to financial aid.",Financial Aid,Request Professional Services Support,Financial Aid Award Packaging,"Workday 29 simplifies financial aid award packaging by:
- Combining related tasks for a simpler workflow.
- Separating merit packaging from need packaging.
- Streamlining the user interface.

For details, see: Financial Aid Award Packaging What's New Video (https://community.workday.com/articles/313618).",,8/5/2017,9/9/2017,,,,,,,,,,STU-26780,,
32,PR29,WDAY,29,feature release,Workday 29 - Manage Duplicate Candidates,"Workday 29 continues to improve your ability to identify duplicate candidates, enabling a faster, simpler recruiting process.

For details, see: Manage Duplicate Candidates What's New Video (https://community.workday.com/articles/312547).",Recruiting,Setup Required,Enable Candidate to Person Merging,"We deliver a new Enable Candidate to Person Merging task (secured to the Set Up: Recruiting domain) that you can use instead of the candidate linking functionality for enhanced performance. 

Candidate-to-person merging enables you to merge a candidate with these types of records:
- Candidate.
- Contingent worker.
- Employee.
- Former worker.
- Terminated worker.

You can also enable candidate-to-person merging using the Put Tenant Settings - HCM web service.",,8/5/2017,9/9/2017,,,,Enable Candidate to Person Merging,,Set Up: Recruiting (existing),,,,HRREC-20383,,
33,PR29,WDAY,29,feature release,Workday 29 - Job Requisitions,"Workday 29 continues to enhance support for job requisitions, enabling you to better manage and collaborate on your recruiting efforts.",Recruiting,Automatically Available,Copy Job and Evergreen Requisitions,"Workday no longer copies inactive questionnaires when you copy an:
- Evergreen requisition.
- Job requisition.

Note: If a job requisition has an inactive primary questionnaire and an active secondary questionnaire, you must still select a primary questionnaire when you copy the job or evergreen requisition.",This feature may impact your training materials.,8/5/2017,9/9/2017,,,,,,,,,,HRREC-23428,,
34,PR29,WDAY,29,feature release,Workday 29 - Project Resource Plan Line Business Process,"With Workday 29, we enable you to view and control the workflow of changes made to project resource plan lines, improving efficiency.

For details, see: Project Resource Plan Line Business Process What's New Video (https://community.workday.com/articles/312486).",Projects,Setup Required,Project Resource Plan Line Business Process,"With Workday 29, we deliver a new Project Resource Plan Line business process (secured to the Projects functional area) for review and approval of changes to a resource plan. These tasks are initiating actions on the new business process:
- Add me to Project
- Add Worker to Project
- Add Workers to Project
- Create Resource Plan for Project
- Edit Project Resource Plan
- Edit Resource Plan
- Edit Resource Plan for Project
- Request Worker for Project
- Synchronize Resource Plan Dates

Workday initiates a single business process event for a resource plan line, even when multiple workers are assigned. We recommend assigning 1 worker to 1 resource plan line.

Workday automatically creates a Project Resource Plan Line business process definition for you.",,8/5/2017,9/9/2017,,,Project Resource Plan Line,,,Projects,,,,FINPRJ-18619,,
35,PR29,WDAY,29,feature release,Workday 29 - Talent - Miscellaneous Enhancements,,Talent Core,Automatically Available,Inactive Competencies,"When you inactivate a competency, Workday now hides the competency on the worker profile.",This feature may impact your training materials.,8/5/2017,9/9/2017,Yes,8/25/2017,,,,,,,,HRTAL-17710,,
36,PR29,WDAY,29,feature release,Workday 29 - Workday Benchmarking,"With this update, we deliver Workday Benchmarking, an analytics platform that provides reliable peer group benchmarks based on Workday usage and transaction data, at no additional cost. This opt-in service de-identifies and aggregates customer data and ensures privacy and security with a multilayered security architecture.

With Workday Benchmarking, you can:
- Opt into subcategories you want to contribute data for and receive benchmarks against. 
- Compare peer benchmarks against your actual values.
- Filter benchmark data by subcategory-specific dimensions. 

For details, see:
- Workday Benchmarking (https://community.workday.com/articles/279022).
- Workday Benchmarking What's New Video (https://community.workday.com/articles/312484).

Note: Workday Benchmarking tasks, reports, and data sources are available in your tenant before you opt in, but Workday does not display benchmark data until you contact your Customer Success Manager to opt in for this free service.",Benchmarking,Setup Required,Benchmarking Functional Area and Domains,"Workday delivers a new Benchmarking functional area that includes these domains:
- Actual Values for Benchmarking, which you can use to secure your tenant actual values on the Benchmark Value business object.
- Benchmark Management, which you can use to secure the Benchmarking Opt-in task and security segment-related tasks.
- Benchmark Values, which you can use to secure benchmark percentiles on the Benchmark Values business object.",,8/5/2017,9/9/2017,Yes,9/9/2017,,,,"Actual Values for Benchmarking
Benchmark Management
Benchmark Values",,,,DAAS-13,,
37,PR29,WDAY,29,feature release,Workday 29 - User Experience - Miscellaneous Enhancements,,System,Automatically Available,Grid Preferences,"Workday 29 enhances the grid preferences menu, providing you with more control over how the grids display relevant information. Now, when you access the menu, you can:
- Freeze a column on the left side of the grid by dragging it to the freeze section of the menu.
- Drag and drop grid columns to display in a desired order.
- Return to the default display at any time by clicking Reset.",This feature may impact your training materials.,8/5/2017,9/9/2017,Yes,8/11/2017,,,,,,,,UICONT-30,,
38,PR29,WDAY,29,feature release,Workday 29 - Job Application and Prospect Data,"Workday 29 continues to improve report data sources for job application and prospect information, providing better performance and enhanced data security.",Recruiting,Automatically Available,My Referrals Report,"Workday delivers a new My Referrals - New report (secured to the Employee Referrals domain) that automatically replaces the My Referrals report and uses the:
- My Referrals filter.
- Find Candidates report data source.

The My Referrals - New report displays referral candidates created using the:
- Create a Referral task.
- Put Candidate web service.
- Refer a Candidate task button on the internal career site.
- Refer a Candidate task.
- Refer a Candidate web service.
- Social media shares of external career site job postings.

The new report also displays referral candidates:
- For whom the current user is the source.
- Who have a Do Not Hire or Withdrawn status.

The new report doesn't display:
- Endorsements.
- Inactive prospects or candidates.
- Prospects or candidates with a self-identified referring worker, even if the worker positively endorsed them.

Additionally, these columns on the report don't display when they return no values for any of the referrals:
- LinkedIn Referral
- Spotlight Job

You can also add the My Referrals - New report to the Talent and Performance worklet and dashboard.",,8/5/2017,9/9/2017,Yes,8/11/2017,,,,Employee Referrals (existing),,,My Referrals,HRREC-27809,,
39,PR29,WDAY,29,feature release,Workday 29 - Integrations - Miscellaneous Enhancements,,Integration,Automatically Available,Enterprise Interface Builder (EIB),"With Workday 29, we add a new Dynamic Filename check box to the Deliver section on the Create EIB task when you create an outbound EIB. The new check box enables you to create dynamic filenames for your Enterprise Interface Builders (EIBs) so that:
- Outbound integration files conform to downstream and auditing requirements.
- You can distinguish and identify different output files more easily.

We also deliver a new Configure Dynamic Filename Definition task (secured to the Integrations: EIBs domain) that you can use to create a dynamic filename definition. When you select the new check box, you can access this new task by selecting Enterprise Interface > Configure Dynamic Filename Definition from the related actions menu of the EIB.",This feature may impact your training materials.,8/5/2017,9/9/2017,Yes,8/18/2017,,Configure Dynamic Filename Definition,,Integrations: EIBs (existing),,,,ICPSVC-2917,,
40,PR29,WDAY,29,feature release,Workday 29 - Student Integrations,"Workday 29 continues to enhance Student integrations, adding support for Common Origination and Disbursement (COD) transactions, NSLDS Transfer Student Monitoring/Financial Aid History, National Student Clearinghouse (NSC) enrollment reporting, and other formats.

For details, see: Student Integrations What's New Video (https://community.workday.com/articles/312371).","Integration

Student Records",Setup Required,NSC Enrollment Reporting Outbound Integration,"With Workday 29, we  introduce a new NSC Enrollment Reporting Outbound integration template that enables you to send enrollment data files to the National Student Clearinghouse.",,8/5/2017,9/9/2017,,,,,,,,,,STU-26924,,
41,PR29,WDAY,29,feature release,Workday 29 - Mobile Faceted Search,Workday 29 improves the faceted search experience for mobile users by enabling better filtering and search result navigation.,System,Automatically Available,Search Filters on Android,We now enable you to save a custom search filter to the search results home page on mobile faceted search reports for Workday on Android.,This feature may impact your training materials.,12/1/2017,12/1/2017,Yes,12/1/2017,,,,,,,,MOBILEIOS-14361,,
42,PR29,WDAY,29,feature release,Workday 29 - Job History Companies,"Workday 29 makes it easier to maintain your companies master list and make company selection values consistent and easily searchable, enabling you to better track work history information for workers and candidates.

For details, see: Job History Companies What's New Video (https://community.workday.com/articles/329547).","Recruiting

Talent Core",Automatically Available,Maintain Job History Companies,"Workday 29 enhances the Maintain Job History Companies report so you can more easily manage job history companies for workers. We update the report to now distinguish recognized and unrecognized companies. 

You can also now use the Edit button to:
- View the number of duplicate entries for a company.
- Edit company names.",,10/13/2017,11/10/2017,,,,,,,,,,HRTAL-14428,,
43,PR29,WDAY,29,feature release,Workday 29 - Email Analytics,"Workday 29 provides support for the SparkPost REST API integration, enabling you to use email analytics for Workday Learning, Recruiting, and Student campaigns and engagement plans. 

Note: You must maintain a separate license to the SparkPost email service provider to use this functionality.

For details, see: Email Analytics What's New Video (https://community.workday.com/articles/327618).","Learning Core

Recruiting

Student Recruiting

System",Request Professional Services Support,SparkPost Email Delivery Override,"You can now configure email delivery overrides for SparkPost on the Edit Tenant Setup - Notifications task for these nontransactional notification types:
- Learning Engagement Plans
- Recruiting Marketing
- Student: Non-transactional

We also rename the SMTP Configuration Override field in the Notification Type grid to Email Delivery Override on the task for clarity.",,10/6/2017,10/6/2017,,,,,,,Email Delivery Override,SMTP Configuration Override,,WIRE-11759,,
44,PR29,WDAY,29,feature release,Workday 29 - Campus Engagement - Miscellaneous Enhancements,,Academic Foundation,Automatically Available,Run As User on Student Audience,"Workday delivers a new Edit Student Audience Run As User task (secured to the new Manage: Student Audience Run as User domain) that you can use to update the Run As User for a student audience.

You can access the new task from the related actions menu of a student audience.",This feature may impact your training materials.,10/6/2017,11/3/2017,,,,Edit Student Audience Run As User,,Manage: Student Audience Run As User,,,,STU-33968,,
